No.,TITLE,ARTIST
64,"You Want This / ""70's Love Groove""",Janet Jackson
65,Tell Me,Groove Theory
66,Can't You See,Total featuring The Notorious B.I.G.
67,All I Wanna Do,Sheryl Crow
68,This Lil' Game We Play,Subway featuring 702
69,Come and Get Your Love,Real McCoy
70,This Ain't a Love Song,Bon Jovi
71,Secret,Madonna
72,Player's Anthem,Junior M.A.F.I.A. featuring The Notorious B.I.G.
73,Feel Me Flow,Naughty by Nature
74,Every Day of the Week,Jade
75,The Sweetest Days,Vanessa Williams
76,Short Dick Man,20 Fingers featuring Gillette
77,Brokenhearted,Brandy
78,No More I Love You's,Annie Lennox
79,You Used to Love Me,Faith Evans
80,Constantly,Immature
81,Hold Me Thrill Me Kiss Me Kill Me,U2
82,100% Pure Love,Crystal Waters
83,Ask of You,Raphael Saadiq
84,Sugar Hill,AZ
85,Good,Better Than Ezra
86,Brown Sugar,D'Angelo
87,Turn the Beat Around,Gloria Estefan
88,'Til You Do Me Right,After 7
89,1st of tha Month,Bone Thugs-n-Harmony
90,"Like the Way I Do / ""If I Wanted To""",Melissa Etheridge
91,I Live My Life for You,FireHouse
92,"Dream About You / ""Funky Melody""",Stevie B
93,Cotton Eye Joe,Rednex
94,Thank You,Boyz II Men
95,I'll Stand by You,The Pretenders
96,I Miss You,N II U
97,Give It 2 You,Da Brat
98,Best Friend,Brandy
99,Misery,Soul Asylum
100,Can't Stop Lovin' You,Van Halen
1,Breathe,Faith Hill
2,Smooth,Santana featuring Rob Thomas
3,Maria Maria,Santana featuring The Product G&B
4,I Wanna Know,Joe
5,Everything You Want,Vertical Horizon
6,Say My Name,Destiny's Child
7,I Knew I Loved You,Savage Garden
8,Amazed,Lonestar
9,Bent,Matchbox Twenty
10,He Wasn't Man Enough,Toni Braxton
11,Higher,Creed
12,Try Again,Aaliyah
13,Jumpin' Jumpin',Destiny's Child
14,Thong Song,Sisqó
15,Kryptonite,3 Doors Down
16,There You Go,Pink
17,Music,Madonna
18,Doesn't Really Matter,Janet
19,What a Girl Wants,Christina Aguilera
20,Back at One,Brian McKnight
21,Bye Bye Bye,'N Sync
22,You Sang to Me,Marc Anthony
23,I Need to Know,Marc Anthony
24,Get It On Tonite,Montell Jordan
25,Incomplete,Sisqó
26,I Try,Macy Gray
27,It's Gonna Be Me,'N Sync
28,That's the Way It Is,Céline Dion
29,Country Grammar (Hot Shit),Nelly
30,Bring It All to Me,Blaque
31,Show Me the Meaning of Being Lonely,Backstreet Boys
32,Hot Boyz,Missy Elliott featuring Nas Eve and Q-Tip
33,Back Here,BBMak
34,It Feels So Good,Sonique
35,Absolutely (Story of a Girl),Nine Days
36,With Arms Wide Open,Creed
37,Be with You,Enrique Iglesias
38,Come On Over Baby (All I Want Is You),Christina Aguilera
39,No More,Ruff Endz
40,All the Small Things,Blink 182
41,The Way You Love Me,Faith Hill
42,I Turn to You,Christina Aguilera
43,Never Let You Go,Third Eye Blind
44,I Need You,LeAnn Rimes
45,Thank God I Found You,Mariah Carey featuring Joe and 98 Degrees
46,Let's Get Married,Jagged Edge
47,My Love Is Your Love,Whitney Houston
48,Then the Morning Comes,Smash Mouth
49,Blue (Da Ba Dee),Eiffel 65
50,Desert Rose,Sting featuring Cheb Mami
51,The Real Slim Shady,Eminem
52,Most Girls,Pink
53,Wifey,Next
54,Wonderful,Everclear
55,Oops!... I Did It Again,Britney Spears
56,I Wanna Love You Forever,Jessica Simpson
57,Give Me Just One Night (Una Noche),98 Degrees
58,Take a Picture,Filter
59,Otherside,Red Hot Chili Peppers
60,Big Pimpin',Jay-Z featuring UGK
61,Purest of Pain (A Puro Dolor),Son by Four
62,He Can't Love U,Jagged Edge
63,Separated,Avant
64,I Wish,Carl Thomas
65,U Know What's Up,Donell Jones
66,Faded,soulDecision featuring Thrust
67,Only God Knows Why,Kid Rock
68,Shake Ya Ass,Mystikal
69,Bag Lady,Erykah Badu
70,Meet Virginia,Train
71,Party Up (Up in Here),DMX
72,Case of the Ex (Whatcha Gonna Do),Mýa
73,Forgot About Dre,Dr. Dre featuring Eminem
74,That's the Way,Jo Dee Messina
75,Swear It Again,Westlife
76,The Next Episode,Dr. Dre featuring Snoop Dogg
77,From the Bottom of My Broken Heart,Britney Spears
78,Crash and Burn,Savage Garden
79,Yes!,Chad Brock
80,The Best Day,George Strait
81,Where I Wanna Be,Donell Jones
82,How Do You Like Me Now?!,Toby Keith
83,My Best Friend,Tim McGraw
84,Broadway,Goo Goo Dolls
85,What'chu Like,Da Brat featuring Tyrese
86,Don't Think I'm Not,Kandi
87,I Hope You Dance,Lee Ann Womack with Sons of the Desert
88,Better Off Alone,Alice Deejay
89,Dance with Me,Debelah Morgan
90,What About Now,Lonestar
91,I Like It,Sammie
92,24/7,Kevon Edmonds
93,Girl on TV,LFO
94,Bounce with Me,Lil' Bow Wow featuring Xscape
95,Cowboy Take Me Away,Dixie Chicks
96,I Don't Wanna,Aaliyah
97,Independent Women Part I,Destiny's Child
98,Gotta Tell You,Samantha Mumba
99,Waiting for Tonight,Jennifer Lopez
100,Shackles (Praise You),Mary Mary
1,We Belong Together,Mariah Carey
2,Hollaback Girl,Gwen Stefani
3,Let Me Love You,Mario
4,Since U Been Gone,Kelly Clarkson
5,1 2 Step,Ciara featuring Missy Elliott
6,Gold Digger,Kanye West featuring Jamie Foxx
7,Boulevard of Broken Dreams,Green Day
8,Candy Shop,50 Cent featuring Olivia
9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes
10,Behind These Hazel Eyes,Kelly Clarkson
11,Disco Inferno,50 Cent
12,You and Me,Lifehouse
13,Don't Phunk with My Heart,The Black Eyed Peas
14,Lose Control,Missy Elliott featuring Ciara and Fatman Scoop
15,Shake It Off,Mariah Carey
16,Mr. Brightside,The Killers
17,Just a Lil Bit,50 Cent
18,Pon de Replay,Rihanna
19,How We Do,The Game featuring 50 Cent
20,Beverly Hills,Weezer
21,Oh,Ciara featuring Ludacris
22,Lonely No More,Rob Thomas
23,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
24,Hate It or Love It,The Game featuring 50 Cent
25,Lovers & Friends,Lil Jon featuring Usher and Ludacris
26,Soldier,Destiny's Child featuring T.I. and Lil Wayne
27,Breakaway,Kelly Clarkson
28,Switch,Will Smith
29,Let Me Hold You,Bow Wow featuring Omarion
30,Like You,Bow Wow featuring Ciara
31,Rich Girl,Gwen Stefani featuring Eve
32,My Humps,The Black Eyed Peas
33,Obsession (No Es Amor),Frankie J featuring Baby Bash
34,Caught Up,Usher
35,Listen to Your Heart,DHT featuring Edmee
36,Scars,Papa Roach
37,Feel Good Inc.,Gorillaz
38,Let Me Go,3 Doors Down
39,Holiday,Green Day
40,Sugar We're Goin Down,Fall Out Boy
41,Grind with Me,Pretty Ricky
42,Run It!,Chris Brown featuring Juelz Santana
43,Photograph,Nickelback
44,Lonely,Akon
45,Collide,Howie Day
